[03 sep 21:52:03] CREATE:ItemAuction, item 268437784:Improved Ring of Queen Ant(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437785:Lava Saw(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437786:Refined Black Feather Mask(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437787:Vigwik Axe(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437788:Green Soul Crystal - Stage 15(1)
[03 sep 21:52:03] CREATE:ItemAuction, item 268437789:Vigwik Axe(1)
[03 sep 21:58:46] CREATE:Hellbound Map, item 268483949:Map of Hellbound(1), L2PcInstance:Kira[268481600], L2PcInstance:Kira[268481600]
[21 sep 16:31:29] CREATE:Loot, item 268483014:Festival Adena(1406113), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483007]
[21 sep 16:31:29] CREATE:Loot, item 268483015:Adena(909289), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483011]
[21 sep 16:31:29] CREATE:Loot, item 268483016:Festival Adena(1317804), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483012]
[21 sep 16:31:29] CREATE:Loot, item 268483017:Festival Adena(11223656), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483013]
[21 sep 16:31:37] CREATE:Loot, item 268483022:Adena(885733), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483019]
[21 sep 16:31:37] CREATE:Loot, item 268483023:Gold Knight(10603051), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483020]
[21 sep 16:31:37] CREATE:Loot, item 268483024:Gold Knight(1309060), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483021]
[21 sep 16:31:40] CREATE:Loot, item 268483029:Gold Knight(1399419), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483026]
[21 sep 16:31:40] CREATE:Loot, item 268483030:Festival Adena(1405639), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483027]
[21 sep 16:31:40] CREATE:Loot, item 268483031:Adena(3389737), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483028]
[21 sep 16:31:46] CREATE:Loot, item 268483038:Festival Adena(1190334), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268482892]
[21 sep 16:31:46] CREATE:Loot, item 268483041:Adena(885025), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268482944]
[21 sep 16:31:46] CREATE:Loot, item 268483042:Festival Adena(1261886), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483033]
[21 sep 16:31:46] CREATE:Loot, item 268483043:Adena(942331), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483034]
[21 sep 16:31:46] CREATE:Loot, item 268483044:Adena(218136), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483035]
[21 sep 16:31:46] CREATE:Loot, item 268483045:Gold Knight(1077192), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483037]
[21 sep 16:35:42] CREATE:Loot, item 268483069:Festival Adena(1383511), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483047]
[21 sep 16:35:42] CREATE:Loot, item 268483070:Adena(779353), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483048]
[21 sep 16:35:42] CREATE:Loot, item 268483071:Festival Adena(1126162), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483050]
[21 sep 16:35:42] CREATE:Loot, item 268483072:Donation Coin(1581525), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483051]
[21 sep 16:35:42] CREATE:Loot, item 268483073:Gold Knight(1566384), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483052]
[21 sep 16:35:42] CREATE:Loot, item 268483074:Festival Adena(1428899), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483053]
[21 sep 16:35:42] CREATE:Loot, item 268483075:Festival Adena(11003801), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483054]
[21 sep 16:35:42] CREATE:Loot, item 268483076:Festival Adena(1342707), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483055]
[21 sep 16:35:42] CREATE:Loot, item 268483077:Adena(135925), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483056]
[21 sep 16:40:54] CREATE:Loot, item 268483131:Festival Adena(1471833), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483086]
[21 sep 16:40:54] CREATE:Loot, item 268483132:Donation Coin(1639451), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483078]
[21 sep 16:40:54] CREATE:Loot, item 268483133:Donation Coin(1601651), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483079]
[21 sep 16:40:54] CREATE:Loot, item 268483134:Donation Coin(1399387), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483080]
[21 sep 16:40:54] CREATE:Loot, item 268483135:Donation Coin(1372397), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483081]
[21 sep 16:40:54] CREATE:Loot, item 268483136:Adena(3919311), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483082]
[21 sep 16:40:54] CREATE:Loot, item 268483137:Gold Knight(1390781), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483083]
[21 sep 16:40:54] CREATE:Loot, item 268483138:Adena(750299), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483084]
[21 sep 16:40:54] CREATE:Loot, item 268483139:Gold Knight(1402958), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483085]
[21 sep 16:40:54] CREATE:Loot, item 268483140:Gold Knight(1331745), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483049]
[21 sep 16:41:24] CREATE:Loot, item 268483166:Festival Adena(1401024), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483149]
[21 sep 16:41:24] CREATE:Loot, item 268483167:Festival Adena(1448240), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483141]
[21 sep 16:41:24] CREATE:Loot, item 268483168:Gold Knight(10518933), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483142]
[21 sep 16:41:24] CREATE:Loot, item 268483169:Gold Knight(10774729), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483143]
[21 sep 16:41:24] CREATE:Loot, item 268483170:Gold Knight(11430914), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483144]
[21 sep 16:41:24] CREATE:Loot, item 268483171:Donation Coin(1503076), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483145]
[21 sep 16:41:24] CREATE:Loot, item 268483172:Gold Knight(1436335), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483146]
[21 sep 16:41:24] CREATE:Loot, item 268483173:Festival Adena(11363833), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483147]
[21 sep 16:41:24] CREATE:Loot, item 268483174:Donation Coin(11130617), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483148]
[21 sep 16:42:47] CREATE:Loot, item 268483189:Gold Knight(1332229), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483182]
[21 sep 16:42:57] CREATE:Loot, item 268483190:Gold Knight(1404539), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483183]
[21 sep 16:43:18] CREATE:Loot, item 268483193:Gold Knight(10860522), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483191]
[21 sep 16:44:52] CREATE:Loot, item 268483201:Donation Coin(10520917), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483179]
[21 sep 16:44:59] CREATE:Loot, item 268483202:Festival Adena(1231251), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483192]
[21 sep 16:45:09] CREATE:Loot, item 268483204:Donation Coin(10551225), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483176]
[21 sep 16:45:09] CREATE:Loot, item 268483205:Donation Coin(1530705), L2PcInstance:Kira[268481216], L2MonsterInstance:Raging Bunny(156)[268483203]
[21 sep 16:49:35] CHANGE:Quest, item 268482372:Adena(6989391393), PrevCount(5989391394), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:49:35] CHANGE:Quest, item 268482372:Adena(7989391392), PrevCount(6989391393), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:49:36] CHANGE:Quest, item 268482372:Adena(8989391391), PrevCount(7989391392), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:49:37] CHANGE:Quest, item 268482372:Adena(9989391390), PrevCount(8989391391), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:49:37] CHANGE:Quest, item 268482372:Adena(10989391389), PrevCount(9989391390), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:50:09] CREATE:Quest, item 268483248:Noblesse Tiara(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:32] CHANGE:Multisell, item 268482372:Adena(10939391389), PrevCount(10989391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:32] CREATE:Multisell, item 268483271:Major Arcana Robe(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:35] CHANGE:Multisell, item 268482372:Adena(10909391389), PrevCount(10939391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:35] CREATE:Multisell, item 268483272:Major Arcana Circlet(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:38] CHANGE:Multisell, item 268482372:Adena(10884391389), PrevCount(10909391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:38] CREATE:Multisell, item 268483273:Major Arcana Gloves(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:40] CHANGE:Multisell, item 268482372:Adena(10859391389), PrevCount(10884391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:40] CREATE:Multisell, item 268483274:Major Arcana Boots(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:42] CHANGE:Multisell, item 268482372:Adena(10845891389), PrevCount(10859391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:42] CREATE:Multisell, item 268483275:Imperial Crusader Shield(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:48] CHANGE:Multisell, item 268482372:Adena(10832391389), PrevCount(10845891389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:52:48] CREATE:Multisell, item 268483281:Arcana Sigil(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:38] CHANGE:Multisell, item 268482372:Adena(10712391389), PrevCount(10832391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:38] CREATE:Multisell, item 268483285:Imperial Staff - Empower(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:52] CHANGE:Multisell, item 268482372:Adena(10707502989), PrevCount(10712391389), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:52] CREATE:Multisell, item 268483286:Blessed Spiritshot (S-Grade)(4444), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:54] CHANGE:Multisell, item 268482372:Adena(10702614589), PrevCount(10707502989), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:53:54] CHANGE:Multisell, item 268483286:Blessed Spiritshot (S-Grade)(8888), PrevCount(4444), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:54:00] CHANGE:Multisell, item 268482372:Adena(10700859209), PrevCount(10702614589), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:54:00] CREATE:Multisell, item 268483287:Soulshot (S-Grade)(4444), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:54:02] CHANGE:Multisell, item 268482372:Adena(10699103829), PrevCount(10700859209), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:54:02] CHANGE:Multisell, item 268483287:Soulshot (S-Grade)(8888), PrevCount(4444), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:00] CHANGE:Multisell, item 268482372:Adena(10698603829), PrevCount(10699103829), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:00] CREATE:Multisell, item 268483293:Color Name (Event)(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:04] CHANGE:Multisell, item 268482372:Adena(10448603829), PrevCount(10698603829), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:04] CREATE:Multisell, item 268483294:Formal Wear(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:14] CHANGE:Multisell, item 268482372:Adena(10433603829), PrevCount(10448603829), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:14] CREATE:Multisell, item 268483296:Golden Festival Mask(1), L2PcInstance:caca[268482371], L2NpcInstance:Zeus(559)[268477421]
[21 sep 16:55:44] DELETE:Consume, item 268483293:Color Name (Event)(0), PrevCount(1), L2PcInstance:caca[268482371]
[21 sep 16:56:01] CREATE:Champion, item 268483297:Apiga(5), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:56:03] CHANGE:Noble, item 268483297:Apiga(15), PrevCount(5), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:20] CHANGE:fame, item 268482372:Adena(10433603819), PrevCount(10433603829), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:20] CHANGE:fame, item 268482372:Adena(10433603809), PrevCount(10433603819), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:21] CHANGE:fame, item 268482372:Adena(10433603799), PrevCount(10433603809), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:22] CHANGE:fame, item 268482372:Adena(10433603789), PrevCount(10433603799), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:23] CHANGE:fame, item 268482372:Adena(10433603779), PrevCount(10433603789), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:23] CHANGE:fame, item 268482372:Adena(10433603769), PrevCount(10433603779), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:24] CHANGE:fame, item 268482372:Adena(10433603759), PrevCount(10433603769), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:24] CHANGE:fame, item 268482372:Adena(10433603749), PrevCount(10433603759), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:25] CHANGE:fame, item 268482372:Adena(10433603739), PrevCount(10433603749), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:26] CHANGE:fame, item 268482372:Adena(10433603729), PrevCount(10433603739), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:27] CHANGE:fame, item 268482372:Adena(10433603719), PrevCount(10433603729), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:27] CHANGE:fame, item 268482372:Adena(10433603709), PrevCount(10433603719), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:28] CHANGE:fame, item 268482372:Adena(10433603699), PrevCount(10433603709), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:29] CHANGE:fame, item 268482372:Adena(10433603689), PrevCount(10433603699), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:30] CHANGE:fame, item 268482372:Adena(10433603679), PrevCount(10433603689), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 16:57:31] CHANGE:fame, item 268482372:Adena(10433603669), PrevCount(10433603679), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 17:01:58] CREATE:Loot, item 268483632:Adena(758288), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483206]
[21 sep 17:02:37] CREATE:Loot, item 268483634:Festival Adena(1232880), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483633]
[21 sep 17:02:37] CREATE:Loot, item 268483635:Festival Adena(1276449), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483207]
[21 sep 17:03:21] CHANGE:Scheme system, item 268482372:Adena(10433599369), PrevCount(10433603669), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 17:03:33] CREATE:Loot, item 268483644:Gold Knight(1374094), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483178]
[21 sep 17:03:44] CREATE:Loot, item 268483645:Donation Coin(1506180), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483180]
[21 sep 17:04:17] CREATE:Loot, item 268483648:Adena(4989113), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483177]
[21 sep 17:04:32] CREATE:Loot, item 268483649:Adena(4300761), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483208]
[21 sep 17:04:46] CREATE:Loot, item 268483653:Gold Knight(11298391), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483181]
[21 sep 17:04:49] SETOWNER:Pickup, item 268483644:Gold Knight(1374094), L2PcInstance:caca[268482371]
[21 sep 17:04:51] SETOWNER:Pickup, item 268483645:Donation Coin(1506180), L2PcInstance:caca[268482371]
[21 sep 17:04:53] CHANGE:Pickup, item 268483644:Gold Knight(12672485), PrevCount(1374094), L2PcInstance:caca[268482371]
[21 sep 17:04:53] DELETE:Pickup, item 268483653:Gold Knight(0), PrevCount(11298391), L2PcInstance:caca[268482371]
[21 sep 17:05:27] CHANGE:Clan donate, item 268482372:Adena(10433599339), PrevCount(10433599369), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 17:05:51] CHANGE:Multisell, item 268483645:Donation Coin(1506170), PrevCount(1506180), L2PcInstance:caca[268482371]
[21 sep 17:05:51] CREATE:Multisell, item 268483664:Vorpal Tunic {PvP}(1), L2PcInstance:caca[268482371]
[21 sep 17:05:55] CHANGE:Multisell, item 268483645:Donation Coin(1506160), PrevCount(1506170), L2PcInstance:caca[268482371]
[21 sep 17:05:55] CREATE:Multisell, item 268483665:Vorpal Circlet(1), L2PcInstance:caca[268482371]
[21 sep 17:05:58] CHANGE:Multisell, item 268483645:Donation Coin(1506150), PrevCount(1506160), L2PcInstance:caca[268482371]
[21 sep 17:05:58] CREATE:Multisell, item 268483666:Vorpal Stockings(1), L2PcInstance:caca[268482371]
[21 sep 17:06:01] CHANGE:Multisell, item 268483645:Donation Coin(1506140), PrevCount(1506150), L2PcInstance:caca[268482371]
[21 sep 17:06:01] CREATE:Multisell, item 268483667:Vorpal Gloves(1), L2PcInstance:caca[268482371]
[21 sep 17:06:05] CHANGE:Multisell, item 268483645:Donation Coin(1506130), PrevCount(1506140), L2PcInstance:caca[268482371]
[21 sep 17:06:05] CREATE:Multisell, item 268483668:Vorpal Shoes(1), L2PcInstance:caca[268482371]
[21 sep 17:06:08] CHANGE:Multisell, item 268483645:Donation Coin(1506120), PrevCount(1506130), L2PcInstance:caca[268482371]
[21 sep 17:06:08] CREATE:Multisell, item 268483669:Vorpal Sigil(1), L2PcInstance:caca[268482371]
[21 sep 17:06:11] CHANGE:Multisell, item 268483645:Donation Coin(1506110), PrevCount(1506120), L2PcInstance:caca[268482371]
[21 sep 17:06:11] CREATE:Multisell, item 268483670:Vorpal Shield(1), L2PcInstance:caca[268482371]
[21 sep 17:08:19] CHANGE:Multisell, item 268483645:Donation Coin(1506080), PrevCount(1506110), L2PcInstance:caca[268482371]
[21 sep 17:08:19] CREATE:Multisell, item 268483702:Archangel Sword {PvP} - Acumen(1), L2PcInstance:caca[268482371]
[21 sep 17:08:50] CHANGE:Multisell, item 268483645:Donation Coin(1506068), PrevCount(1506080), L2PcInstance:caca[268482371]
[21 sep 17:08:50] CREATE:Multisell, item 268483710:Elegia Ring(1), L2PcInstance:caca[268482371]
[21 sep 17:08:53] CHANGE:Multisell, item 268483645:Donation Coin(1506056), PrevCount(1506068), L2PcInstance:caca[268482371]
[21 sep 17:08:53] CREATE:Multisell, item 268483711:Elegia Ring(1), L2PcInstance:caca[268482371]
[21 sep 17:08:55] CHANGE:Multisell, item 268483645:Donation Coin(1506044), PrevCount(1506056), L2PcInstance:caca[268482371]
[21 sep 17:08:55] CREATE:Multisell, item 268483712:Elegia Earring(1), L2PcInstance:caca[268482371]
[21 sep 17:08:57] CHANGE:Multisell, item 268483645:Donation Coin(1506032), PrevCount(1506044), L2PcInstance:caca[268482371]
[21 sep 17:08:57] CREATE:Multisell, item 268483713:Elegia Earring(1), L2PcInstance:caca[268482371]
[21 sep 17:09:00] CHANGE:Multisell, item 268483645:Donation Coin(1506020), PrevCount(1506032), L2PcInstance:caca[268482371]
[21 sep 17:09:00] CREATE:Multisell, item 268483714:Elegia Necklace(1), L2PcInstance:caca[268482371]
[21 sep 17:10:00] CHANGE:Pickup, item 268482372:Adena(10438588452), PrevCount(10433599339), L2PcInstance:caca[268482371]
[21 sep 17:10:00] DELETE:Pickup, item 268483648:Adena(0), PrevCount(4989113), L2PcInstance:caca[268482371]
[21 sep 17:10:01] CHANGE:Pickup, item 268482372:Adena(10442889213), PrevCount(10438588452), L2PcInstance:caca[268482371]
[21 sep 17:10:01] DELETE:Pickup, item 268483649:Adena(0), PrevCount(4300761), L2PcInstance:caca[268482371]
[21 sep 17:11:34] CHANGE:Multisell, item 268483645:Donation Coin(1505995), PrevCount(1506020), L2PcInstance:caca[268482371]
[21 sep 17:11:34] CREATE:Multisell, item 268483742:AiO Gemstone(1), L2PcInstance:caca[268482371]
[21 sep 17:12:33] CHANGE:Scheme system, item 268482372:Adena(10442884913), PrevCount(10442889213), L2PcInstance:caca[268482371], L2PcInstance:caca[268482371]
[21 sep 17:13:52] CREATE:Loot, item 268483752:Adena(5594930), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483650]
[21 sep 17:13:59] CREATE:Loot, item 268483754:Festival Adena(10788128), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483641]
[21 sep 17:14:07] SETOWNER:Pickup, item 268483754:Festival Adena(10788128), L2PcInstance:caca[268482371]
[21 sep 17:14:10] CHANGE:Pickup, item 268482372:Adena(10448479843), PrevCount(10442884913), L2PcInstance:caca[268482371]
[21 sep 17:14:10] DELETE:Pickup, item 268483752:Adena(0), PrevCount(5594930), L2PcInstance:caca[268482371]
[21 sep 17:14:18] CREATE:Loot, item 268483758:Festival Adena(10923881), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483642]
[21 sep 17:14:20] CHANGE:Pickup, item 268483754:Festival Adena(21712009), PrevCount(10788128), L2PcInstance:caca[268482371]
[21 sep 17:14:20] DELETE:Pickup, item 268483758:Festival Adena(0), PrevCount(10923881), L2PcInstance:caca[268482371]
[21 sep 17:14:28] CREATE:Loot, item 268483760:Gold Knight(1544431), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483756]
[21 sep 17:14:33] CREATE:Loot, item 268483762:Donation Coin(1305273), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483661]
[21 sep 17:16:11] CHANGE:Pickup, item 268483644:Gold Knight(14216916), PrevCount(12672485), L2PcInstance:caca[268482371]
[21 sep 17:16:11] DELETE:Pickup, item 268483760:Gold Knight(0), PrevCount(1544431), L2PcInstance:caca[268482371]
[21 sep 17:16:13] CHANGE:Pickup, item 268483645:Donation Coin(2811268), PrevCount(1505995), L2PcInstance:caca[268482371]
[21 sep 17:16:13] DELETE:Pickup, item 268483762:Donation Coin(0), PrevCount(1305273), L2PcInstance:caca[268482371]
[21 sep 17:16:24] CREATE:Loot, item 268483795:Adena(552701), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483769]
[21 sep 17:16:26] CREATE:Loot, item 268483796:Gold Knight(1345018), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483757]
[21 sep 17:16:26] CREATE:Loot, item 268483797:Adena(639409), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483647]
[21 sep 17:16:26] CREATE:Loot, item 268483798:Adena(480192), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483761]
[21 sep 17:16:34] CREATE:Loot, item 268483800:Festival Adena(1244637), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483646]
[21 sep 17:16:39] CREATE:Loot, item 268483802:Gold Knight(1199802), L2PcInstance:caca[268482371], L2MonsterInstance:Raging Bunny(156)[268483659]
[21 sep 17:16:42] CHANGE:Pickup, item 268483644:Gold Knight(15416718), PrevCount(14216916), L2PcInstance:caca[268482371]
[21 sep 17:16:42] DELETE:Pickup, item 268483802:Gold Knight(0), PrevCount(1199802), L2PcInstance:caca[268482371]
[21 sep 17:16:44] CHANGE:Pickup, item 268483754:Festival Adena(22956646), PrevCount(21712009), L2PcInstance:caca[268482371]
[21 sep 17:16:44] DELETE:Pickup, item 268483800:Festival Adena(0), PrevCount(1244637), L2PcInstance:caca[268482371]
[21 sep 17:16:44] CHANGE:Pickup, item 268482372:Adena(10449032544), PrevCount(10448479843), L2PcInstance:caca[268482371]
[21 sep 17:16:44] DELETE:Pickup, item 268483795:Adena(0), PrevCount(552701), L2PcInstance:caca[268482371]
[21 sep 17:16:45] CHANGE:Pickup, item 268483644:Gold Knight(16761736), PrevCount(15416718), L2PcInstance:caca[268482371]
[21 sep 17:16:45] DELETE:Pickup, item 268483796:Gold Knight(0), PrevCount(1345018), L2PcInstance:caca[268482371]
[21 sep 17:16:46] CHANGE:Pickup, item 268482372:Adena(10449671953), PrevCount(10449032544), L2PcInstance:caca[268482371]
[21 sep 17:16:46] DELETE:Pickup, item 268483797:Adena(0), PrevCount(639409), L2PcInstance:caca[268482371]
[21 sep 17:16:48] CHANGE:Pickup, item 268482372:Adena(10450152145), PrevCount(10449671953), L2PcInstance:caca[268482371]
[21 sep 17:16:48] DELETE:Pickup, item 268483798:Adena(0), PrevCount(480192), L2PcInstance:caca[268482371]
[21 sep 17:17:07] CHANGE:Multisell, item 268483645:Donation Coin(2811258), PrevCount(2811268), L2PcInstance:caca[268482371]
